id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre
71279,"R. Uberaba, Vila America, Grajaú, Rio de Janeiro - RJ, 20561-240, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,GRAJAU,VILA AMERICA,,-22.9251679,-43.25593509999999,"04/05/2025, 17:03:00",false,false,,Não identificado,,,false
71293,"Chapadão - Costa Barros, Rio de Janeiro - RJ, 21650-020, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,COSTA BARROS,,COMPLEXO DO CHAPADAO,-22.82326393,-43.37707903,"05/05/2025, 00:30:00",false,false,,Disputa,,,false
71282,"Complexo do Chapadão - Costa Barros, Rio de Janeiro - RJ, 21650-020, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,COSTA BARROS,,COMPLEXO DO CHAPADAO,-22.82326393,	-43.37707903,"05/05/2025, 04:40:00",true,true,PM (41 BPM),Operação policial,,,false
71295,"Morro do Fubá - Cascadura, Rio de Janeiro - RJ, 21311-130, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CASCADURA,,MORRO DO FUBA (COMPLEXO DO FUBA),-22.892324971301786,-43.33377861518315,"05/05/2025, 10:10:00",false,false,,Não identificado,,,false
71299,"Morro do Juramento - Vicente de Carvalho, Rio de Janeiro - RJ, 21371-010, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VICENTE DE CARVALHO,,MORRO DO JURAMENTO (COMPLEXO DO JURAMENTO),-22.859420370861685,-43.31822838996581,"05/05/2025, 15:20:00",false,false,,Não identificado,,,false
71306,"Favela do Sertão - Jacarepaguá, Rio de Janeiro - RJ, 22753-630, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,JACAREPAGUA,,FAVELA DO SERTAO,-22.96538225	,-43.3208615,"05/05/2025, 22:40:00",false,false,,Disputa,,,false
71307,"Morro do Juramento (Complexo do Juramento) - Vicente de Carvalho, Rio de Janeiro, RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VICENTE DE CARVALHO,,MORRO DO JURAMENTO (COMPLEXO DO JURAMENTO),-22.86204124	,-43.31545844,"06/05/2025, 00:00:00",false,false,,Disputa,,,false
71324,"Parque Dois Irmãos  - Curicica, Rio de Janeiro - RJ, 22780-190, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CURICICA,,FAVELA PARQUE DOIS IRMAOS (CURICICA),-22.95105015,-43.39378358,"07/05/2025, 07:30:00",true,true,PC (DRFA),Operação policial,,,false
71326,"Rua Leopoldino de Oliveira, Morro do Cajueiro (Complexo do Cajueiro) - Madureira, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,MADUREIRA,,MORRO DO CAJUEIRO (COMPLEXO DO CAJUEIRO),-22.8650061,-43.3393998,"07/05/2025, 14:30:00",true,true,9 BPM,Disputa,,,false
71338,"Rua Iacanga, Conjunto Edson Fernandes dos Santos - Padre Miguel, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,PADRE MIGUEL,,CONJUNTO EDSON FERNANDES DOS SANTOS,-22.8459083,-43.4635262,"07/05/2025, 18:00:00",false,false,,Homicidio/Tentativa,,,false
71329,"Avenida Santa Cruz - Senador Camará, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,SENADOR CAMARA,,,-22.882988,-43.4891589,"07/05/2025, 19:00:00",false,false,,Briga,,,false
71332,"Linha Amarela - Bonsucesso, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,BONSUCESSO,,,-22.8716509,-43.2562752,"08/05/2025, 02:30:00",false,false,,Tentativa/Roubo,,,false
71339,"Vila Vintém - Padre Miguel, Rio de Janeiro - RJ, 21721-480, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,PADRE MIGUEL,,VILA VINTEM,-22.87136775,	-43.44308676,"08/05/2025, 03:00:00",true,true,PC (DRFC); PC (32 DP); PC (SSINTE),Operação policial,,,false
71351,"Rua Francisco Siqueira - Inhaúma, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,INHAUMA,,,-22.8683089,-43.2901951,"08/05/2025, 04:46:00",false,true,,Homicidio/Tentativa,,,false
71357,"Avenida Marechal Câmara - Centro, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CENTRO,,,-22.9091988,-43.1694987,"09/05/2025, 10:00:00",true,true,PM (5 BPM),Ação policial,,,false
71361,"Mirante - Vargem Grande, Rio de Janeiro - RJ, 22785, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VARGEM GRANDE,,,-22.981822223259403,-43.51740957541004,"09/05/2025, 10:30:00",false,false,,Homicidio/Tentativa,,,false
71361,"Mirante - Vargem Grande, Rio de Janeiro - RJ, 22785, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VARGEM GRANDE,,,-22.981822223259403,-43.51740957541004,"09/05/2025, 10:30:00",false,false,,Homicidio/Tentativa,,,false
71363,"Rua Barão do Bom Retiro, Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.9188746,-43.2617429,"09/05/2025, 15:00:00",false,false,,Disputa,,,false
71363,"Rua Barão do Bom Retiro, Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.9188746,-43.2617429,"09/05/2025, 15:00:00",false,false,,Disputa,,,false
71363,"Rua Barão do Bom Retiro, Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.9188746,-43.2617429,"09/05/2025, 15:00:00",false,false,,Disputa,,,false
71366,"Estr. das Capoeiras - Campo Grande, Rio de Janeiro - RJ, 23085-660, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CAMPO GRANDE,,,-22.890278,-43.5595033,"10/05/2025, 02:00:00",false,false,,Não identificado,,,false
71377,"Morro do Amor - Rua Dona Francisca - Lins de Vasconcelos, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,LINS DE VASCONCELOS,,MORRO DO AMOR (COMPLEXO DO LINS),-22.9135991,-43.2762509,"10/05/2025, 12:40:00",false,false,,Não identificado,,,false
71382,"Vila Vale - Rio das Pedras, Jacarepagua, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,JACAREPAGUA,,RIO DAS PEDRAS,-22.975989,-43.3338632,"10/05/2025, 15:05:00",false,false,,Não identificado,,,false
71383,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20551-232, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.91189634	,-43.25524243,"10/05/2025, 22:00:00",false,false,,Disputa,,,false
71385,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20551-232, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.91189634	,-43.25524243,"10/05/2025, 23:00:00",false,false,,Disputa,,,false
71391,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20551-232, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.91189634,	-43.25524243,"11/05/2025, 01:20:00",false,false,,Disputa,,,false
