"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;1;1;1;3;1;2;4;1;1;15;;
"2017";4;1;0;0;0;0;0;4;2;1;0;1;13;-2;-13,33
"2018";2;1;0;3;1;2;0;2;3;1;1;2;18;5;38,46
"2019";3;3;3;2;0;0;0;0;2;0;0;0;13;-5;-27,78
"2020";2;1;0;0;0;0;0;1;3;2;0;0;9;-4;-30,77
"2021";0;1;1;0;1;1;1;1;1;1;3;2;13;4;44,44
"2022";4;2;2;0;3;2;1;1;0;0;2;2;19;6;46,15
"2023";3;1;2;0;0;2;0;2;1;0;4;0;15;-4;-21,05
"2024";0;1;0;1;1;2;2;2;2;2;1;2;16;1;6,67
"2025";0;1;0;2;0;4;1;1;2;4;2;0;17;1;6,25
"2026";0;0;1;;;;;;;;;;1;-16;-94,12
