"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;91;67;58;67;72;94;141;155;128;873;;
"2017";64;30;110;98;74;75;74;90;58;67;84;78;902;29;3,32
"2018";59;55;77;80;93;145;91;73;131;95;117;66;1082;180;19,96
"2019";109;138;159;189;184;121;135;128;72;128;72;74;1509;427;39,46
"2020";62;83;94;36;32;52;93;67;41;63;40;35;698;-811;-53,74
"2021";47;45;71;92;72;44;33;47;27;35;30;40;583;-115;-16,48
"2022";38;65;46;38;32;53;33;36;62;57;25;11;496;-87;-14,92
"2023";23;12;10;3;17;11;24;29;15;30;17;17;208;-288;-58,06
"2024";21;24;24;43;67;66;43;59;67;58;36;14;522;314;150,96
"2025";29;17;22;20;3;7;19;29;32;16;19;43;256;-266;-50,96
"2026";12;13;27;;;;;;;;;;52;-204;-79,69
