id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,civilians_dead,civilians_wounded,agents_dead,agents_wounded,men_dead,men_wounded,women_dead,women_wounded,kids_dead,kids_wounded,teenagers_dead,teenagers_wounded,elderly_dead,elderly_wounded
70672,"Batan, Realengo, Rio de Janeiro - RJ, 21730-380, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,REALENGO,,BATAN,-22.8622987,-43.4265301,"31/03/2025, 21:00:00",true,true,PM (14 BPM),Ação policial,,,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70664,"Cidade Universitária, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CIDADE UNIVERSITARIA,,,-22.8628536,-43.2263053,"01/04/2025, 05:19:00",true,true,PM (17 BPM),Tentativa/Roubo de cargas,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70669,"Morro do Chaves, Barros Filho, Rio de Janeiro - RJ, 21515-170, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,BARROS FILHO,,MORRO DO CHAVES (COMPLEXO DA PEDREIRA),-22.8333158,-43.3627903,"01/04/2025, 09:00:00",true,true,PM (41 BPM),Ação policial,,,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70674,"Rua Ipadu - Taquara, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,TAQUARA,,,-22.9254524,-43.3948368,"01/04/2025, 14:00:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70677,"Rua Severino da Silva - Campo Grande, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CAMPO GRANDE,,,-22.8736936,-43.5745146,"01/04/2025, 20:00:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70675,"Manguinhos, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,MANGUINHOS,,MANGUINHOS (COMPLEXO DE MANGUINHOS),-22.8825193,-43.2442626,"01/04/2025, 21:20:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70727,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20551-232, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.91189634,-43.25524243,"02/04/2025, 07:07:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70686,"Favela 5 Bocas, Brás de Pina, Rio de Janeiro - RJ, 21012-377, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,BRAS DE PINA,,FAVELA 5 BOCAS (COMPLEXO DE ISRAEL),-22.822803198472258,-43.28361224662704,"02/04/2025, 09:00:00",true,true,PM (16 BPM),Ação policial,,,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70688,"Boiúna, Taquara, Rio de Janeiro - RJ, 22723-018, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,TAQUARA,,BOIUNA,-22.908772,-43.4082699,"02/04/2025, 10:00:00",true,true,PC (DRFA); PC (DRE); PC (32 DP),Operação policial,,,false,1,1,0,0,0,0,0,0,0,0,0,0,0,0
70698,"Rua Hélio do Amaral - Padre Miguel, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,PADRE MIGUEL,,,-22.858779,-43.447081,"02/04/2025, 17:30:00",false,false,,Disputa,,,false,0,1,0,0,0,0,0,0,0,1,0,0,0,0
70694,"Catiri - Bangu, Rio de Janeiro - RJ, 21863-010, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,BANGU,,CATIRI,-22.853227609959106,-43.470687609524546,"02/04/2025, 20:35:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70697,"Avenida Brasil - Bangu, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,BANGU,,,-22.8553624,-43.4881302,"03/04/2025, 01:30:00",false,true,,Não identificado,,,false,0,0,1,0,0,0,0,0,0,0,0,0,0,0
