"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;10;18;7;28;27;13;7;15;11;136;;
"2017";5;0;6;7;9;13;11;12;29;17;7;12;128;-8;-5,88
"2018";13;8;17;14;13;13;17;17;13;13;15;14;167;39;30,47
"2019";19;12;31;19;17;20;23;13;23;16;20;16;229;62;37,13
"2020";17;15;12;0;5;9;8;8;7;10;8;8;107;-122;-53,28
"2021";12;4;7;5;8;15;8;10;13;12;7;15;116;9;8,41
"2022";17;20;20;9;8;7;6;19;12;6;20;29;173;57;49,14
"2023";29;18;24;18;23;29;24;13;17;12;7;14;228;55;31,79
"2024";15;19;18;18;10;4;10;14;8;21;21;12;170;-58;-25,44
"2025";26;15;18;18;12;25;18;18;19;27;12;8;216;46;27,06
"2026";9;8;10;;;;;;;;;;27;-189;-87,5
