"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;13;11;10;7;12;14;19;23;10;119;;
"2017";6;4;12;11;5;9;13;14;8;8;11;10;111;-8;-6,72
"2018";13;7;14;9;12;15;6;9;12;9;8;8;122;11;9,91
"2019";11;8;25;16;33;17;15;20;16;18;18;38;235;113;92,62
"2020";22;41;33;10;7;14;8;7;11;14;12;20;199;-36;-15,32
"2021";18;19;9;13;16;6;9;6;9;5;11;16;137;-62;-31,16
"2022";6;5;9;8;7;12;7;4;4;3;4;2;71;-66;-48,18
"2023";4;3;6;3;2;2;4;3;7;2;4;3;43;-28;-39,44
"2024";3;0;3;0;5;3;9;2;4;4;2;11;46;3;6,98
"2025";14;13;4;5;1;8;9;6;0;2;2;2;66;20;43,48
"2026";1;0;2;;;;;;;;;;3;-63;-95,45
