"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;7;10;7;3;8;12;10;15;15;87;;
"2017";3;2;7;7;15;10;7;8;13;7;6;9;94;7;8,05
"2018";3;8;6;8;6;10;4;8;3;7;12;5;80;-14;-14,89
"2019";6;15;8;14;13;11;7;4;7;5;14;6;110;30;37,5
"2020";7;5;8;1;0;2;6;3;2;4;4;0;42;-68;-61,82
"2021";9;3;6;6;5;9;3;5;2;2;5;7;62;20;47,62
"2022";4;6;5;11;34;31;35;25;24;13;19;8;215;153;246,77
"2023";8;7;9;9;20;19;11;28;20;10;11;25;177;-38;-17,67
"2024";15;6;9;9;20;19;16;28;20;32;20;17;211;34;19,21
"2025";12;16;28;22;26;19;33;16;32;26;28;17;275;64;30,33
"2026";10;8;25;;;;;;;;;;43;-232;-84,36
