"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;16;17;15;14;17;26;28;26;22;181;;
"2017";13;7;12;16;14;18;22;17;6;11;10;14;160;-21;-11,6
"2018";10;12;11;12;15;15;18;12;11;13;8;9;146;-14;-8,75
"2019";19;28;35;32;18;10;11;20;17;16;16;15;237;91;62,33
"2020";15;13;14;10;11;4;16;13;5;15;11;15;142;-95;-40,08
"2021";16;18;15;19;11;5;4;10;30;20;5;12;165;23;16,2
"2022";8;6;5;7;11;26;9;9;7;4;7;5;104;-61;-36,97
"2023";7;8;10;13;12;11;8;12;20;10;19;12;142;38;36,54
"2024";9;5;4;7;4;16;8;12;24;20;12;6;127;-15;-10,56
"2025";7;15;6;2;1;1;12;10;2;2;2;3;63;-64;-50,39
"2026";7;0;0;;;;;;;;;;7;-56;-88,89
