,servico,mes_previsto,previsao_furtos,previsao_roubos,previsao_tiroteios_30d,media_furtos_12m,media_roubos_12m,media_tiroteios_12m,periodo_tiroteio_inicio,periodo_tiroteio_fim,score_risco,z_score,nivel_risco
0,006,2026-04,19.01,0.0,4.28,27.0,6.42,2.58,2026-04-01,2026-04-30,0.11675152749490834,-1.4435868211055718,baixo
1,007,2026-04,38.02,5.59,4.28,46.17,10.0,2.58,2026-04-01,2026-04-30,0.1936863543788187,-1.1545634095923192,baixo
2,010,2026-04,56.87,9.29,2.77,71.92,12.83,1.5,2026-04-01,2026-04-30,0.23564154786150715,-0.996949054141015,baixo
3,10,2026-04,70.93,8.73,5.32,71.58,16.42,5.25,2026-04-01,2026-04-30,0.3106415478615071,-0.7151942658160505,baixo
4,100,2026-04,104.51,17.3,4.56,118.0,18.0,2.75,2026-04-01,2026-04-30,0.38686354378818744,-0.42884876810900885,medio
5,104,2026-04,164.63,40.28,6.06,158.17,36.92,4.25,2026-04-01,2026-04-30,0.5588085539714868,0.21710229786071625,medio
6,107,2026-04,83.53,13.51,3.29,99.42,15.92,1.83,2026-04-01,2026-04-30,0.3212830957230142,-0.675216838280465,baixo
7,11,2026-04,70.93,8.73,5.91,71.58,16.42,5.75,2026-04-01,2026-04-30,0.3240835030549898,-0.6646964626132056,baixo
8,117,2026-04,49.31,12.35,5.29,53.83,14.42,2.67,2026-04-01,2026-04-30,0.31720977596741345,-0.6905192028873876,baixo
9,12,2026-04,63.64,6.11,4.58,64.58,15.25,4.58,2026-04-01,2026-04-30,0.23080448065173115,-1.0151206121117358,baixo
10,13,2026-04,63.64,6.11,4.58,64.58,15.25,4.58,2026-04-01,2026-04-30,0.23080448065173115,-1.0151206121117358,baixo
11,133,2026-04,64.14,24.33,4.06,69.5,25.58,3.17,2026-04-01,2026-04-30,0.3570773930753564,-0.5407473092971314,baixo
